0.000000	49
0.170000	38
0.300000	49
0.440000	35
0.600000	35
0.600000	49
0.900000	49
1.050000	35
1.200000	38
1.200000	49
1.500000	35
1.500000	49
1.650000	49
1.810000	35
1.820000	49
2.450000	35
2.450000	49
2.600000	38
2.750000	49
2.900000	35
2.900000	49
3.050000	35
3.050000	49
3.360000	49
3.510000	35
3.670000	38
3.670000	49
3.970000	35
3.970000	49
4.270000	35
4.280000	49
4.430000	49
4.590000	49
4.890000	35
4.890000	49
5.040000	38
5.190000	49
5.350000	35
5.510000	35
5.510000	49
5.800000	49
5.950000	35
6.100000	38
6.100000	49
6.400000	49
6.550000	38
6.700000	35
6.700000	49
6.990000	47
7.300000	47
7.460000	47
7.610000	47
7.760000	35
7.900000	38
7.900000	47
8.580000	49
9.230000	35
9.230000	49
9.820000	38
9.820000	42
9.820000	49
