5.53	42
6.13	42
6.48	42
6.76	42
6.76	49
7.36	49
8.34	49
8.9	49
9.19	49
9.49	49
9.79	35
9.79	49
10.16	42
10.41	42
10.57	42
10.72	42
11.0	35
11.0	42
11.15	42
11.31	42
11.62	38
11.62	42
11.81	42
12.22	35
12.22	42
12.52	42
12.85	42
13.15	42
13.3	35
13.45	35
13.45	42
13.59	42
13.74	42
13.89	35
14.04	38
14.04	42
14.18	42
14.34	35
14.34	42
14.67	35
14.67	42
14.83	42
15.0	42
15.31	42
15.47	42
15.62	42
15.76	35
15.91	35
15.92	42
16.24	42
16.54	42
16.69	42
16.85	42
17.15	35
17.15	42
17.46	47
17.78	47
17.92	47
18.24	35
18.39	47
18.55	47
18.83	35
18.98	35
18.98	47
19.58	35
19.58	49
20.2	49
20.47	49
20.63	35
20.79	35
20.79	49
21.1	49
21.26	49
21.42	38
21.42	49
21.57	38
21.72	49
21.87	49
22.01	35
22.01	49
22.32	49
22.47	38
22.63	49
22.78	38
22.92	49
23.07	35
23.24	35
23.24	49
23.56	49
23.72	35
23.88	38
23.88	49
24.19	35
24.19	49
24.34	49
24.49	35
24.49	49
24.81	49
25.11	38
25.11	49
25.43	49
25.51	35
25.59	49
25.71	35
25.72	49
26.01	49
26.32	38
26.32	49
26.62	49
26.77	38
26.92	35
26.92	49
27.22	49
27.38	35
27.38	49
27.54	49
27.68	38
27.83	49
27.98	35
28.14	35
28.14	49
28.45	35
28.45	49
28.76	38
28.76	49
29.07	35
29.07	49
29.22	49
29.38	35
29.38	49
29.71	49
29.85	35
30.0	49
30.17	38
30.3	49
30.44	35
30.6	35
30.6	49
30.9	49
31.05	35
31.2	38
31.2	49
31.5	35
31.5	49
31.65	49
31.81	35
31.82	49
32.45	35
32.45	49
32.6	38
32.75	49
32.9	35
32.9	49
33.05	35
33.05	49
33.36	49
33.51	35
33.67	38
33.67	49
33.97	35
33.97	49
34.27	35
34.28	49
34.43	49
34.59	49
34.89	35
34.89	49
35.04	38
35.19	49
35.35	35
35.51	35
35.51	49
35.8	49
35.95	35
36.1	38
36.1	49
36.4	49
36.55	38
36.7	35
36.7	49
36.99	47
37.3	47
37.46	47
37.61	47
37.76	35
37.9	38
37.9	47
38.58	49
39.23	35
39.23	49
39.82	38
39.82	42
39.82	49
40.14	42
40.28	35
40.42	35
40.42	42
40.58	42
40.74	42
